sid,condition,trial,response
080817_05,pilot16,22,g
080817_05,pilot16,23,r
080817_05,pilot16,24,r
080817_05,pilot16,25,r
080817_05,pilot16,26,g
080817_05,pilot16,27,g
080817_05,pilot16,28,g
080817_05,pilot16,29,r
080817_05,pilot16,30,r
080817_05,pilot16,31,g
080817_05,pilot16,32,r
080817_05,pilot16,33,g
080817_05,pilot16,34,r
080817_06,pilot18,1,g
080817_06,pilot18,2,r
080817_06,pilot18,3,r
080817_06,pilot18,4,g
080817_06,pilot18,5,g
080817_06,pilot18,6,r
080817_06,pilot18,7,g
080817_06,pilot18,8,g
080817_06,pilot18,9,r
080817_06,pilot18,10,r
080817_06,pilot18,11,g
080817_06,pilot18,12,g
080817_06,pilot18,13,r
080817_06,pilot18,14,g
080817_06,pilot18,15,r
080817_06,pilot18,16,g
080817_06,pilot18,17,g
080817_06,pilot18,18,r
080817_06,pilot18,19,r
080817_06,pilot18,20,g
080817_06,pilot18,21,r
080817_06,pilot18,22,g
080817_06,pilot18,23,g
080817_06,pilot18,24,r
080817_06,pilot18,25,r
080817_06,pilot18,26,g
080817_06,pilot18,27,g
080817_06,pilot18,28,r
080817_06,pilot18,29,g
080817_06,pilot18,30,g
080817_06,pilot18,31,r
080817_06,pilot18,32,r
080817_06,pilot18,33,g
080817_06,pilot18,34,r
080817_07,pilot17,1,g
080817_07,pilot17,2,r
080817_07,pilot17,3,r
080817_07,pilot17,4,r
080817_07,pilot17,5,
080817_07,pilot17,6,
080817_07,pilot17,7,r
080817_07,pilot17,8,g
080817_07,pilot17,9,g
080817_07,pilot17,10,r
080817_07,pilot17,11,g
080817_07,pilot17,12,g
080817_07,pilot17,13,r
080817_07,pilot17,14,g
080817_07,pilot17,15,r
080817_07,pilot17,16,g
080817_07,pilot17,17,g
080817_07,pilot17,18,r
080817_07,pilot17,19,r
080817_07,pilot17,20,r
080817_07,pilot17,21,r
080817_07,pilot17,22,g
080817_07,pilot17,23,r
080817_07,pilot17,24,r
080817_07,pilot17,25,g
080817_07,pilot17,26,r
080817_07,pilot17,27,g
080817_07,pilot17,28,g
080817_07,pilot17,29,g
080817_07,pilot17,30,r
080817_07,pilot17,31,g
080817_07,pilot17,32,r
080817_07,pilot17,33,g
080817_07,pilot17,34,g
